,name,serving_size,calories,total_fat,fat,protein,Images,carbohydrate,ingredients
79,Apple Chutney,150g,60,0.5,0,0.5,,20,"Apples (2, peeled and chopped), Onion (1 medium, chopped), Ginger (1 inch, grated), Mustard seeds (1 tsp), Vinegar (2 tbsp), Sugar (1/2 cup), Salt (to taste), Oil (2 tbsp)"
80,Kaddu Ki Sabzi,150g,130,4,1,2,,10,"Pumpkin (500 grams, cubed), Onion (1 medium, chopped), Tomato (1 medium, chopped), Green chilies (2, chopped), Cumin seeds (1 tsp), Turmeric powder (1/2 tsp), Coriander powder (1 tsp), Red chili powder (1/2 tsp), Salt (to taste), Oil (2 tbsp)"
81,Tandoori Chicken Breast,200g,250,9,2,35,,0,"Chicken, spices, oil, garlic, ginger"
82,Spicy Grilled Salmon,200g,230,12,3,30,,0,"Salmon fillets (4), Olive oil (2 tbsp), Garlic (4 cloves, minced), Red chili powder (1 tsp), Paprika (1 tsp), Lemon juice (2 tbsp), Salt (to taste)"
83,Lahori Fish (Grilled),150g,220,10,2,30,,0,"Fish, spices, lemon, garlic, ginger"
84,Grilled Seekh Kebabs,100g,280,16,5,20,,5,"Ground meat (500 grams), Onion (1 medium, finely chopped), Garlic (4 cloves, minced), Ginger (1 inch, grated), Green chilies (2, chopped), Cumin powder (1 tsp), Coriander powder (1 tsp), Garam masala (1 tsp), Salt (to taste), Oil (for grilling)"
85,Chana Dal,150g,160,4,1,12,,30,"Chana dal (1 cup), Onion (1 medium, chopped), Tomato (1 medium, chopped), Garlic (4 cloves, minced), Ginger (1 inch, grated), Green chilies (2, chopped), Turmeric powder (1/2 tsp), Red chili powder (1/2 tsp), Cumin seeds (1 tsp), Salt (to taste), Oil (2 tbsp)"
86,Masoor Dal Tadka,100g,180,5,1,10,,25,"Masoor dal (1 cup), Onion (1 medium, chopped), Tomato (1 medium, chopped), Garlic (4 cloves, minced), Ginger (1 inch, grated), Green chilies (2, chopped), Turmeric powder (1/2 tsp), Red chili powder (1/2 tsp), Cumin seeds (1 tsp), Salt (to taste), Ghee or oil (2 tbsp)"
87,Saag Chicken,200g,250,14,4,25,,5,"Chicken, spices, oil, garlic, ginger"
88,Vegetable Pulao (Brown Rice),150g,210,6,1,6,,35,"Rice, spices, oil, vegetables"
89,Prawn Curry,200g,220,12,3,22,,5,"Vegetables, spices, oil, garlic, ginger, tomatoes"
90,Moong Dal Chilla,100g,180,3,0.5,9,,20,"Moong dal (1 cup, soaked), Onion (1 medium, chopped), Green chilies (2, chopped), Ginger (1 inch, grated), Cumin seeds (1 tsp), Coriander leaves (a handful, chopped), Salt (to taste), Oil (for cooking)"
91,Cabbage Sabzi,150g,70,2,0.5,2,,5,"Cabbage (1 medium, shredded), Onion (1 medium, chopped), Green chilies (2, chopped), Cumin seeds (1 tsp), Turmeric powder (1/2 tsp), Salt (to taste), Oil (2 tbsp)"
92,Carrot Raita,200ml,50,1,0.5,2,,5,"Yogurt (1 cup), Carrot (1 medium, grated), Cumin powder (1 tsp), Salt (to taste)"
93,Spinach and Chickpea Curry,200g,180,6,1,9,,20,"Vegetables, spices, oil, garlic, ginger, tomatoes"
94,Bhindi Masala (Low Oil),150g,130,5,1,2,,10,"Okra , Onion (1 medium, chopped), Tomato (1 medium, chopped), Ginger-garlic paste (1 tbsp), Cumin seeds (1 tsp), Turmeric powder (1/2 tsp), Red chili powder (1/2 tsp), Salt (to taste), Oil (2 tbsp)"
95,Roasted Pumpkin Soup,200ml,80,2,0.5,2,,10,"Vegetables, broth, spices, salt, pepper"
96,Stuffed Tomatoes,200g,100,4,1,2,,10,"Tomatoes (4 large), Paneer (100 grams, crumbled), Onion (1 medium, chopped), Green chilies (2, chopped), Ginger (1 inch, grated), Garam masala (1/2 tsp), Cumin seeds (1 tsp), Salt (to taste), Oil (2 tbsp)"
97,Paneer Bhurji (Low-fat),150g,220,12,4,15,,5,"Paneer (250 grams, crumbled), Onion (1 medium, chopped), Tomato (1 medium, chopped), Green chilies (2, chopped), Ginger-garlic paste (1 tbsp), Turmeric powder (1/2 tsp), Red chili powder (1/2 tsp), Garam masala (1 tsp), Salt (to taste), Oil (2 tbsp)"
98,Lemon and Herb Chicken Skewers,100g,240,10,2,35,https://thecozyapron.com/wp-content/uploads/2016/05/grilled-lemon-chicken-skewers_thecozyapron_05-23-16_1-Edit.jpg,5,"Chicken, spices, oil, garlic, ginger"
99,Cauliflower Rice Pilaf,200g,100,3,0.5,2,"https://assets.bonappetit.com/photos/5c54b9b38348a42c8a64ffab/1:1/w_1920,c_limit/healthyish-cauliflower-pilaf-horizontal.jpg",5,"Rice, spices, oil, vegetables"
100,Tomato Cucumber Salad with Mint,100g,40,1,0,1,https://vegetariangastronomy.com/wp-content/uploads/2014/01/cucumber-tomato-mint-salad-3.jpg,5,"Vegetables, olive oil, lemon, salt, pepper"
101,Roasted Carrot and Parsnip Soup,250ml,70,3,0.5,2,https://static01.nyt.com/images/2010/11/08/health/08well_carrot/08well_carrot-articleLarge-v2.jpg?width=1280&quality=75&auto=webp,10,"Vegetables, broth, spices, salt, pepper"
102,Mixed Berry and Spinach Smoothie,250ml,140,1,0.5,3,https://shaneandsimple.com/wp-content/uploads/2021/02/DELICIOUS-Spinach-Berry-SMOOTHIE-The-perfect-way-to-start-the-day-antioxidants-EASY-creamy-smoothie-glutenfree-greensmoothie-vegan-dairyfree-healthy-shaneandsimple-2.jpg,20,"Mixed berries (1 cup), Spinach (1 cup), Low-fat yogurt (1 cup), Honey (2 tbsp)"
103,Chickpea and Spinach Stir-Fry,150g,180,6,1,9,https://static01.nyt.com/images/2019/01/15/dining/mrs-chickpeas-with-baby-spinach/merlin_148333146_7dc41b22-3671-43a5-a168-9f78701be99e-master768.jpg?width=1280&quality=75&auto=webp,20,"Chickpeas (1 cup, boiled), Spinach (1 bunch, chopped), Onion (1 medium, chopped), Garlic (4 cloves, minced), Olive oil (2 tbsp), Salt (to taste)"
104,Grilled Asparagus with Lemon,100g,40,1,0,2,https://www.feastingathome.com/wp-content/uploads/2022/03/grilled-asparagus_-4-1024x1536.jpg,5,"Asparagus (1 bunch), Olive oil (2 tbsp), Lemon juice (1 tbsp), Salt (to taste), Black pepper (to taste)"
105,Avocado and Tomato Salad,150g,100,8,2,2,https://www.aheadofthyme.com/wp-content/uploads/2021/06/tomato-cucumber-avocado-salad-3-1-768x1152.jpg,5,"Vegetables, olive oil, lemon, salt, pepper"
106,Coconut Curry with Vegetables,200g,180,10,4,4,https://cdn.loveandlemons.com/wp-content/uploads/2018/10/curry-684x1024.jpg,10,"Vegetables, spices, oil, garlic, ginger, tomatoes"
107,Quinoa and Kale Salad,150g,190,6,1,5,https://pinchmegood.com/wp-content/uploads/2022/09/IMG_3403.jpg,15,"Vegetables, olive oil, lemon, salt, pepper"
108,Grilled Fish with Mango Salsa,200g,200,6,2,32,https://tarateaspoon.com/wp-content/uploads/2019/01/Fish_with_mango_salsa_horiz.jpeg,0,"Fish, spices, lemon, garlic, ginger"
109,Spicy Black Bean Soup,250ml,150,3,0.5,6,https://cookieandkate.com/images/2016/02/vegetarianvegan-black-bean-soup-recipe-3-768x1154.jpg,20,"Vegetables, broth, spices, salt, pepper"
110,Herb-Roasted Butternut Squash,200g,80,4,1,3,https://www.cookingclassy.com/wp-content/uploads/2018/11/roasted-butternut-squash-12-768x1152.jpg,10,"Butternut squash (1 medium, cubed), Olive oil (2 tbsp), Rosemary (1 tsp, chopped), Thyme (1 tsp, chopped), Salt (to taste), Black pepper (to taste)"
111,Cabbage and Apple Salad,150g,60,2,0.5,2,https://www.lastingredient.com/wp-content/uploads/2021/09/apple-cabbage-salad5.jpg,5,"Vegetables, olive oil, lemon, salt, pepper"
112,Spiced Lentil and Sweet Potato Soup,250ml,150,2,0.5,4,https://somethingsweetsomethingsavoury.com/wp-content/uploads/2019/09/Spicy-Sweet-Potato-and-Lentil-Soup-6.jpg,15,"Vegetables, broth, spices, salt, pepper"
113,Grilled Pineapple Rings,150g,50,1,0,1,https://www.eatingwell.com/thmb/8S5Z6F2b6yP_vYYIbyS9tbmelog=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Grilled-Pineapple-3x2-4953-60296d9e9c904847804505b4ef50dd31.jpg,10,"Pineapple rings (1 can or fresh), Olive oil (1 tbsp), Honey (2 tbsp), Cinnamon powder (1/2 tsp)"
114,Sauteed Garlic Mushrooms,100g,70,5,1,3,https://www.spendwithpennies.com/wp-content/uploads/2013/04/SpendWithPennies-Sauteed-Mushrooms-23.jpg,5,"Mushrooms (250 grams, sliced), Garlic (4 cloves, minced), Olive oil (2 tbsp), Salt (to taste), Black pepper (to taste)"
115,Tomato and Red Onion Salad,100g,30,1,0,1,https://theseasidebaker.com/wp-content/uploads/2021/05/HR-tomato-salad-7506-768x1156.jpg,5,"Vegetables, olive oil, lemon, salt, pepper"
116,Spiced Lentil Burgers,1 piece,180,6,2,9,https://dishingouthealth.com/wp-content/uploads/2023/08/SpicedLentilBurgers_Styled1.jpg,25,"Cooked lentils (1 cup), Bread crumbs (1/2 cup), Onion (1 medium, chopped), Garlic (4 cloves, minced), Cumin powder (1 tsp), Coriander powder (1 tsp), Salt (to taste), Oil (for cooking)"
117,Garlic Roasted Broccoli,150g,40,4,1,2,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2014/6/9/1/FN_Roasted-Broccoli-with-Garlic_s4x3.jpg.rend.hgtvcom.826.620.suffix/1402542284727.jpeg,5,"Broccoli (1 head, cut into florets), Garlic (4 cloves, minced), Olive oil (2 tbsp), Salt (to taste), Black pepper (to taste)"
118,Mint and Pea Soup,250ml,90,2,0.5,2,https://www.thespruceeats.com/thmb/9TUwcuYktjr_sBKab0pR3LMI7no=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/super-easy-pea-and-mint-soup-435604-hero_1-2c7e3183b54b449db87efd8e99244507.jpg,10,"Vegetables, broth, spices, salt, pepper"
119,Zucchini Noodles with Pesto,200g,100,7,2,2,https://www.twopeasandtheirpod.com/wp-content/uploads/2013/08/Zucchini-Noodles-with-Pesto-6.jpg,5,"Zucchini (2 medium, spiralized), Basil pesto (1/2 cup), Olive oil (2 tbsp), Salt (to taste)"
120,Lemon Garlic Chickpeas,150g,120,6,1,6,https://i0.wp.com/spainonafork.com/wp-content/uploads/2021/07/image6-34-11.png?fit=750%2C750&ssl=1,25,"Chickpeas (1 cup, boiled), Garlic (4 cloves, minced), Lemon juice (2 tbsp), Olive oil (2 tbsp), Red chili flakes (1/2 tsp), Salt (to taste)"
121,Carrot and Beetroot Salad,100g,60,1,0,2,https://img.taste.com.au/DR6TiyGb/w720-h480-cfill-q80/taste/2016/11/carrot-and-beetroot-slaw-with-fennel-dressing-100161-1.jpeg,10,"Vegetables, olive oil, lemon, salt, pepper"
122,Spicy Roasted Cauliflower,150g,70,4,1,2,https://www.abeautifulplate.com/wp-content/uploads/2022/03/spiced-roasted-cauliflower-4-1024x1536.jpg,10,"Cauliflower (1 medium, cut into florets), Olive oil (2 tbsp), Red chili powder (1 tsp), Salt (to taste), Black pepper (to taste)"
123,Mango and Mint Smoothie,250ml,100,1,0.5,1,https://tastefulventure.com/wp-content/uploads/2015/12/Mango-Mint-Banana-Smoothie-with-Chia-Seeds-2.jpg,20,"Mango (1 cup, cubed), Mint leaves (a handful), Low-fat yogurt (1 cup), Honey (2 tbsp)"
124,Grilled Salmon with Dill,200g,230,12,3,30,https://www.simplyrecipes.com/thmb/qVWhL6kRxTSXyNtOytWExIVzeco=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2013__06__grilled-salmon-dill-butter-vertical-640-09eac8e5b35447c99e15943ca6c70911.jpg,0,"Salmon fillets (4), Olive oil (2 tbsp), Dill (2 tbsp, chopped), Garlic (4 cloves, minced), Lemon juice (2 tbsp), Salt (to taste)"
125,Green Lentil and Quinoa Salad,150g,180,4,1,9,https://www.lettyskitchen.com/wp-content/uploads/2017/06/lentil-and-quinoa-salad-vertical-contrast-5786.jpg,25,"Vegetables, olive oil, lemon, salt, pepper"
126,Baked Tofu with Spices,150g,160,6,1,8,"https://hips.hearstapps.com/hmg-prod/images/baked-tofu-vertical-5-ps-1588967786.jpg?crop=1.00xw:0.668xh;0,0.162xh&resize=1200:*",5,
127,Tomato and Olive Salad,100g,80,4,1,1,https://img.taste.com.au/Dq2HgVSh/w720-h480-cfill-q80/taste/2016/11/tomato-and-olive-salad-107836-1.jpeg,5,"Vegetables, olive oil, lemon, salt, pepper"
128,Grilled Mushrooms with Garlic,100g,70,4,1,2,https://www.dinneratthezoo.com/wp-content/uploads/2019/04/grilled-mushrooms-5.jpg,5,
129,Herb-Roasted Radishes,100g,50,3,0.5,1,https://www.fitlivingeats.com/wp-content/uploads/2021/03/Sheet-Pan-Roasted-Radishes-feat2-2048x1365.jpg,5,
130,Spicy Vegetable Soup,250ml,90,2,0.5,2,https://www.triedandtruerecipe.com/wp-content/uploads/2020/03/Spicy-Vegetable-Soup_Hero.jpg,10,"Vegetables, broth, spices, salt, pepper"
131,Coconut and Almond Smoothie,250ml,150,6,3,2,https://i2.wp.com/lifemadesimplebakes.com/wp-content/uploads/2016/01/Almond-Joy-Smoothie-1.jpg,15,Ingredients not specified
132,Lemon Herb Baked Chicken,200g,220,8,2,25,https://s23209.pcdn.co/wp-content/uploads/2018/06/211129_DAMN-DELICIOUS_Lemon-Herb-Roasted-Chx_059-1024x1536.jpg,5,"Chicken, spices, oil, garlic, ginger"
133,Spiced Chickpea and Spinach Stew,200g,160,5,1,9,https://assets-global.website-files.com/625403361d98807cf6b43807/64cba25e136553ae2bc78774_spiced-chickpea-and-spinach-stew-p-1080.webp,25,"Chickpeas (1 cup, boiled), Spinach (2 cups, chopped), Onion (1 medium, chopped), Tomato (1 medium, chopped), Garlic (4 cloves, minced), Ginger (1 inch, grated), Cumin seeds (1 tsp), Coriander powder (1 tsp), Turmeric powder (1/2 tsp), Red chili powder (1/2 tsp), Salt (to taste), Olive oil (2 tbsp)"
134,Tomato and Cucumber Gazpacho,250ml,50,1,0.5,1,https://www.justalittlebitofbacon.com/wp-content/uploads/2016/06/smooth-tomato-gazpacho-2.jpg,10,"Tomatoes (4 large, chopped), Cucumber (1 large, chopped), Red bell pepper (1, chopped), Green bell pepper (1, chopped), Red onion (1 medium, chopped), Garlic (2 cloves, minced), Olive oil (2 tbsp), Red wine vinegar (2 tbsp), Salt (to taste), Black pepper (to taste), Cold water (1 cup)"
135,Garlic and Lemon Quinoa,150g,120,4,1,5,https://foolproofliving.com/wp-content/uploads/2020/04/Herb-Lemon-Quinoa-Recipe-640x640.jpg,25,"Quinoa (1 cup), Garlic (4 cloves, minced), Lemon juice (2 tbsp), Olive oil (2 tbsp), Vegetable broth (2 cups), Salt (to taste), Black pepper (to taste), Fresh parsley (for garnish)"
136,Roasted Brussels Sprouts,150g,70,5,1,2,https://www.wellplated.com/wp-content/uploads/2017/08/Crispy-Oven-Roasted-Brussels-Sprouts.jpg,10,"Brussels sprouts (500 grams, halved), Olive oil (2 tbsp), Garlic (4 cloves, minced), Salt (to taste), Black pepper (to taste), Balsamic vinegar (1 tbsp)"
137,Grilled Vegetable Salad,150g,80,4,1,3,https://www.theendlessmeal.com/wp-content/uploads/2023/08/grilled-vegetable-salad-4-1024x1536.jpg,10,"Vegetables, olive oil, lemon, salt, pepper"
139,Spinach and Strawberry Salad,100g,60,3,0.5,2,https://www.simplejoy.com/wp-content/uploads/2018/05/strawberry_spinach_salad_recipe_image-768x1152.webp,10,"Vegetables, olive oil, lemon, salt, pepper"
140,Lemon and Herb Fish Fillets,200g,180,5,2,32,https://img.taste.com.au/WlFut0cB/w720-h480-cfill-q80/taste/2016/11/lemon-and-herb-fish-with-wedges-75148-1.jpeg,0,"Fish, spices, lemon, garlic, ginger"
141,Spicy Lentil Pancakes,1 piece,160,5,1,9,https://cdn77-s3.lazycatkitchen.com/wp-content/uploads/2022/01/masala-potatoes-red-lentil-pancakes-macro-800x1200.jpg,25,"Mixed lentils (1 cup, soaked), Onion (1 medium, chopped), Green chilies (2, chopped), Ginger (1 inch, grated), Cumin seeds (1 tsp), Coriander leaves (a handful, chopped), Salt (to taste), Oil (for cooking)"
142,Grilled Peppers with Herbs,100g,50,2,0.5,1,https://playswellwithbutter.com/wp-content/uploads/2021/04/Grilled-Bell-Peppers-6.jpg,5,"Bell peppers (red, yellow, green; sliced), Olive oil (2 tbsp), Mixed herbs (2 tbsp, chopped), Salt (to taste), Black pepper (to taste), Lemon juice (1 tbsp)"
143,Cucumber and Yogurt Salad,100g,40,1,0.5,2,https://forksandfoliage.com/wp-content/uploads/2022/08/cucumber-yogurt-mint-salad-cacik-7.jpg,5,"Vegetables, olive oil, lemon, salt, pepper"
144,Spicy Chickpea Soup,250ml,140,3,0.5,6,https://www.foodandwine.com/thmb/FVpfMV6FJayBk09XZ03i_yoKHGM=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/200803-xl-chickpea-soup-356aa0c0c5184f0bad66729de163804f.jpg,25,"Vegetables, broth, spices, salt, pepper"
145,Roasted Garlic and Herb Chicken,200g,230,8,2,25,https://feelgoodfoodie.net/wp-content/uploads/2020/11/Roasted-Chicken-with-Garlic-Herbs-6.jpg,5,"Chicken, spices, oil, garlic, ginger"
146,Green Apple and Spinach Smoothie,250ml,90,1,0,2,https://thenaturalnurturer.com/wp-content/uploads/2022/06/apple-spinach-smoothie-6-of-6.jpg,15,
147,Boiled Eggs,50g,70,10,3,12,https://www.allrecipes.com/thmb/qM4v2RS0r2j74AqidsAUETpveh0=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/9188544-1a3585fc8f3541c1891081af005ef7ff.jpg,1,
148,Grilled Salmon,200g,230,12,3,30,https://www.dinneratthezoo.com/wp-content/uploads/2019/05/grilled-salmon-final-2-1024x1536.jpg,0,
149,Quinoa Salad,150g,180,6,1,9,https://cdn.loveandlemons.com/wp-content/uploads/2020/08/quinoa-salad-recipes-779x1024.jpg,25,"Vegetables, olive oil, lemon, salt, pepper"
150,Greek Yogurt,200g,100,4,3,10,https://www.health.com/thmb/FiciD8FcYddxlCLELZGUrU_skBk=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GreekYogurt-dee108fc27b340a79b892b5ef53e2111.jpg,10,"Milk (2 cups), Lemon juice (2 tbsp), Plain yogurt (1 cup)"
151,Oatmeal with Berries,150g,150,4,1,5,https://www.pcrm.org/sites/default/files/Oatmeal%20and%20Berries.jpg,30,"Rolled oats (1 cup), Milk (2 cups), Mixed berries (1 cup), Honey (2 tbsp), Chia seeds (1 tbsp)"
152,Chia Seed Pudding,150g,120,9,2,4,https://www.eatingbirdfood.com/wp-content/uploads/2023/12/chia-pudding-hero-1077x1536.jpg,15,"Chia seeds (1/4 cup), Almond milk (1 cup), Vanilla extract (1/2 tsp), Honey (2 tbsp), Fresh fruit (for topping)"
153,Baked Sweet Potatoes,200g,100,2,0.5,2,https://cookieandkate.com/images/2021/09/baked-sweet-potato-recipe-1-768x1155.jpg,25,"Sweet potatoes (4 medium), Olive oil (2 tbsp), Cinnamon (1 tsp), Salt (to taste)"
154,Cucumber and Mint Smoothie,250ml,50,1,0,1,https://www.yayforfood.com/wp-content/uploads/cucumber-mint-pineapple-smoothie-featured-scaled.jpg.webp,10,"Cucumber (1 large), Mint leaves (a handful), Plain yogurt (1 cup), Honey (1 tbsp), Lemon juice (1 tbsp), Ice cubes (as needed)"
155,Lemon Garlic Shrimp,150g,160,8,1,22,https://feelgoodfoodie.net/wp-content/uploads/2023/02/Lemon-Garlic-Shrimp-08.jpg,0,"Shrimp (500 grams, peeled and deveined), Garlic (4 cloves, minced), Lemon juice (2 tbsp), Olive oil (2 tbsp), Salt (to taste), Black pepper (to taste), Fresh parsley (for garnish)"
156,Mixed Fruit Salad,150g,80,1,0,2,https://images.themodernproper.com/billowy-turkey/production/posts/2022/FruitSalad_Shot4_20.jpg?w=600&q=82&auto=format&fit=crop&dm=1654019861&s=4040d9c9eded22884a140e2887edd54c,15,"Vegetables, olive oil, lemon, salt, pepper"
157,Spinach Salad with Nuts,150g,100,7,1,4,https://img.taste.com.au/8Zde6ctq/w720-h480-cfill-q80/taste/2016/11/spinach-walnut-salad-46370-1.jpeg,10,"Vegetables, olive oil, lemon, salt, pepper"
158,Hummus with Veggie Sticks,100g,150,10,1,4,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/lighter_hummus_54148_16x9.jpg,20,
159,Whole Grain Bread,1 slice,80,2,0.5,3,https://sallysbakingaddiction.com/wp-content/uploads/2024/01/whole-wheat-bread-3.jpg,15,"Flour, yeast, water, salt, sugar"
160,Mango Chutney,50g,60,0.5,0,1,"https://img.jamieoliver.com/jamieoliver/recipe-database/BACXcJLeqgu8ykLRnnZ1Rq.jpg?tr=w-800,h-1066",20,Ingredients not specified
161,Tandoori Chicken Salad,150g,220,8,2,25,https://www.telegraph.co.uk/content/dam/recipes/2021/04/16/SD-high-protein-1_trans_NvBQzQNjv4Bq4Cg47ETywhc_T3_hHlzeTNF939FeChi7SCXA94MXkvA.jpg?imwidth=960,5,"Chicken, spices, oil, garlic, ginger"
162,Mashed Cauliflower,150g,70,2,0.5,2,https://cdn.loveandlemons.com/wp-content/uploads/2020/10/mashed-cauliflower-1-775x1024.jpg,5,
163,Steamed Asparagus,150g,40,1,0,2,https://therecipecritic.com/wp-content/uploads/2022/02/steamedasparagus-751x1000.jpg,5,
164,Pumpkin Seed Trail Mix,30g,150,20,4,5,https://cdn.shortpixel.ai/spai/q_lossless+ex_1+ret_img/https://www.ediblenm.com/wp-content/uploads/2023/08/20230201_M8_Pumpkin_Trail_Mix-50.jpg,10,
165,Tomato Basil Soup,200ml,90,2,0.5,3,https://therecipecritic.com/wp-content/uploads/2022/10/tomatobasilsoup-4-750x1000.jpg,15,"Vegetables, broth, spices, salt, pepper"
166,Grilled Chicken Breast,200g,230,5,1,35,https://www.cookingclassy.com/wp-content/uploads/2022/07/grilled-chicken-breasts-03-768x1152.jpg,5,"Chicken, spices, oil, garlic, ginger"
167,Spicy Lentil Soup,200g,140,3,0.5,9,https://jessicainthekitchen.com/wp-content/uploads/2022/01/Lentil-Soup-10-1366x2048.jpg,25,"Vegetables, broth, spices, salt, pepper"
168,Cauliflower Rice,200g,50,1,0.5,2,https://i2.wp.com/www.downshiftology.com/wp-content/uploads/2019/12/Cauliflower-Rice-6-1024x1536.jpg,5,"Rice, spices, oil, vegetables"
169,Apple Slices with Peanut Butter,100g,150,8,1,2,https://www.eatingwell.com/thmb/nMLu2yzCXv5Dp91OhUOyM7whVHU=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/5553477-29d410e04ee149908c2c7d2f074d91e5.jpg,20,
170,,,,,,,,,
171,,,,,,,,,
172,,,,,,,,,
